0.745	17.5523
0.7475	17.5753
0.75	17.5983
0.7525	17.6213
0.755	17.6443
0.7575	17.6672
0.76	17.6902
0.7625	17.7132
0.765	17.7362
0.7675	17.7591
0.77	17.7821
0.7725	17.805
0.775	17.8279
0.7775	17.8508
0.78	17.8737
0.7825	17.8966
0.785	17.9195
0.7875	17.9423
0.79	17.9651
0.7925	17.9879
0.795	18.0107
0.7975	18.0334
0.8	18.0561
0.8025	18.0788
0.805	18.1015
0.8075	18.1241
0.81	18.1467
0.8125	18.1692
0.815	18.1917
0.8175	18.2142
0.82	18.2366
0.8225	18.259
0.825	18.2814
0.8275	18.3037
0.83	18.3259
0.8325	18.3481
0.835	18.3703
0.8375	18.3924
0.84	18.4144
0.8425	18.4364
0.845	18.4583
0.8475	18.4802
0.85	18.502
0.8525	18.5238
0.855	18.5455
0.8575	18.5671
0.86	18.5886
0.8625	18.6101
0.865	18.6315
0.8675	18.6528
0.87	18.6741
0.8725	18.6953
0.875	18.7164
0.8775	18.7374
0.88	18.7584
0.8825	18.7792
0.885	18.8
0.8875	18.8207
0.89	18.8413
0.8925	18.8618
0.895	18.8822
0.8975	18.9026
0.9	18.9228
0.9025	18.9429
0.905	18.963
0.9075	18.9829
0.91	19.0027
0.9125	19.0224
0.915	19.0421
0.9175	19.0616
0.92	19.081
0.9225	19.1003
0.925	19.1195
0.9275	19.1385
0.93	19.1575
0.9325	19.1763
0.935	19.195
0.9375	19.2136
0.94	19.2321
0.9425	19.2504
0.945	19.2686
0.9475	19.2867
0.95	19.3047
0.9525	19.3225
0.955	19.3402
0.9575	19.3578
0.96	19.3752
0.9625	19.3925
0.965	19.4096
0.9675	19.4266
0.97	19.4435
0.9725	19.4602
0.975	19.4768
0.9775	19.4932
0.98	19.5094
0.9825	19.5256
0.985	19.5415
0.9875	19.5573
0.99	19.573
0.9925	19.5885
0.995	19.6038
0.9975	19.619
1	19.634
1.0025	19.6489
1.005	19.6635
1.0075	19.6781
1.01	19.6924
1.0125	19.7066
1.015	19.7206
1.0175	19.7344
1.02	19.7481
1.0225	19.7615
1.025	19.7748
1.0275	19.7879
1.03	19.8009
1.0325	19.8136
1.035	19.8262
1.0375	19.8386
1.04	19.8508
1.0425	19.8628
1.045	19.8746
1.0475	19.8862
1.05	19.8977
1.0525	19.9089
1.055	19.92
1.0575	19.9308
1.06	19.9415
1.0625	19.9519
1.065	19.9622
1.0675	19.9722
1.07	19.9821
1.0725	19.9917
1.075	20.0011
1.0775	20.0104
1.08	20.0194
1.0825	20.0282
1.085	20.0368
1.0875	20.0452
1.09	20.0534
1.0925	20.0613
1.095	20.0691
1.0975	20.0766
1.1	20.0839
1.1025	20.091
1.105	20.0979
1.1075	20.1045
1.11	20.1109
1.1125	20.1171
1.115	20.1231
1.1175	20.1289
1.12	20.1344
1.1225	20.1397
1.125	20.1448
1.1275	20.1496
1.13	20.1542
